Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2015-11-02T00:00:00.000Z,"6,361.10","6,459.50","6,079.80","6,356.10",-0.08,-0.59,"14,16,89,90,400"
2015-12-01T00:00:00.000Z,"6,356.10","6,447.30","5,871.90","6,242.30",-1.79,-2.3,"13,43,32,51,400"
2016-01-04T00:00:00.000Z,"6,242.30","6,242.30","5,639.90","6,083.80",-2.54,-3.05,"17,40,31,33,600"
2016-02-01T00:00:00.000Z,"6,083.80","6,115.40","5,499.50","6,097.10",0.22,-0.29,"19,20,89,66,500"
2016-03-01T00:00:00.000Z,"6,097.10","6,237.00","6,036.70","6,174.90",1.28,0.76,"16,59,06,66,300"
2016-03-31T23:00:00.000Z,"6,174.90","6,427.30","6,061.90","6,241.90",1.09,0.57,"15,81,74,57,800"
2016-05-02T23:00:00.000Z,"6,241.90","6,290.10","6,050.20","6,230.80",-0.18,-0.69,"15,01,80,82,100"
2016-05-31T23:00:00.000Z,"6,230.80","6,504.30","5,788.70","6,504.30",4.39,3.88,"24,83,68,71,900"
2016-06-30T23:00:00.000Z,"6,504.30","6,780.10","6,432.50","6,724.40",3.38,2.87,"19,19,22,40,800"
2016-07-31T23:00:00.000Z,"6,724.40","6,955.30","6,615.80","6,781.50",0.85,0.34,"15,72,53,68,400"
2016-08-31T23:00:00.000Z,"6,781.50","6,941.10","6,654.50","6,899.30",1.74,1.22,"18,13,29,99,100"
2016-10-02T23:00:00.000Z,"6,899.30","7,129.80","6,898.10","6,954.20",0.8,0.28,"18,70,88,69,600"
2016-11-01T00:00:00.000Z,"6,954.20","6,997.30","6,676.60","6,783.80",-2.45,-2.96,"20,19,75,73,900"
2016-12-01T00:00:00.000Z,"6,783.80","7,142.80","6,678.70","7,142.80",5.29,4.78,"14,99,15,95,900"
2017-01-03T00:00:00.000Z,"7,142.80","7,354.10","7,099.20","7,099.20",-0.61,-1.12,"17,44,46,98,300"
2017-02-01T00:00:00.000Z,"7,099.20","7,329.60","7,093.60","7,263.40",2.31,1.8,"16,44,64,46,100"
2017-03-01T00:00:00.000Z,"7,263.40","7,447.00","7,255.80","7,322.90",0.82,0.31,"20,03,99,72,500"
2017-04-02T23:00:00.000Z,"7,322.90","7,406.40","7,096.80","7,203.90",-1.63,-2.14,"15,77,12,58,600"
2017-05-01T23:00:00.000Z,"7,203.90","7,586.50","7,203.90","7,520.00",4.39,3.88,"18,33,87,97,800"
2017-05-31T23:00:00.000Z,"7,520.00","7,599.00","7,302.70","7,312.70",-2.76,-3.27,"19,14,67,18,200"
